年月日,10分間降水量の最大(mm),降水量の合計(mm),平均風速(m/s),最大風速(m/s),平均気温(℃),最高気温(℃),最低気温(℃)
2022/6/25,0,0,3.3,6.1,25.5,30.2,22.9
2022/6/26,0,0,3.1,7.5,25.4,29.1,22.3
2022/6/27,0,0,2.9,5.5,26.6,31,23.6
2022/6/28,0,0,5.3,7.9,26.4,30.6,24
2022/6/29,0,0,4.2,6.3,26.7,30.7,23.8
2022/6/30,0,0,2.3,5,28,32.1,23.8
2022/7/1,0,0,2.2,5.1,29.1,35.2,23.5
2022/7/2,0,0,2.6,5,28,32.5,24.4
2022/7/3,1,4,4.3,7.8,25.8,28,24.5
2022/7/4,0.5,3,2.1,3.7,25,27.1,23.7
2022/7/5,3,13,2,5.7,25.5,30,23.4
2022/7/6,0.5,0.5,2,4.3,27.7,33.4,24.3
2022/7/7,0,0,2.4,5.3,27.4,33,22.9
2022/7/8,0,0,2.2,5.1,26,27.8,24.1
2022/7/9,3,4.5,4.2,6.2,26.4,29.7,24.2
2022/7/10,2.5,8,2.4,4.8,26.6,30.4,23.9
2022/7/11,0,0,2.4,4.5,27.2,30.9,24.8
2022/7/12,15,53.5,2.4,5.4,25.5,28,23.4
2022/7/13,0,0,2,4.7,25.4,29.5,22
2022/7/14,0.5,3,2.2,5.4,24.2,25.8,22.4
2022/7/15,0,0,2.7,5.6,25.7,29.2,23.2
2022/7/16,2.5,3,2.1,5.1,25.3,27.9,23.5
2022/7/17,0,0,2.6,5.7,25.9,29.4,22.9
2022/7/18,1,4.5,3.8,7.5,26.4,30.7,23.6
2022/7/19,12.5,53.5,3.8,7.4,25.6,26.6,24.4
2022/7/20,0,0,1.8,4.2,26.8,30.3,23.4
2022/7/21,6.5,15.5,2.8,7.4,26.1,29.2,23
2022/7/22,3.5,0,3.6,6.8,25.9,28.4,23.7
2022/7/23,0.5,0.5,1.9,3.7,24.9,29.5,21.4
2022/7/24,0,0,2.8,6.8,25.7,30.7,19.6
2022/7/25,0,0,2.3,5.4,27.9,31.9,25
2022/7/26,0,0,2,4,29.4,34.9,25
2022/7/27,0,0,2.5,5.6,27.8,31.7,25
2022/7/28,0,0,2.1,4.9,28.6,32.6,24.4
2022/7/29,0.5,0.5,1.9,5.5,29.1,34.1,25
2022/7/30,0,0,3.3,7.2,28.6,33.1,24.8
2022/7/31,0,0,3.7,6,28.5,31.7,25.7
2022/8/1,0,0,4.6,7.8,28.5,32.1,26.1
2022/8/2,0,0,3,5.5,28.9,32.4,25.6
2022/8/3,0.5,1,2.6,6.7,28.1,33.2,25.2
2022/8/4,0,0,2.3,6.7,27.6,31.8,24.4
2022/8/5,16.5,24.5,1.5,7.2,27,31.7,23.6
2022/8/6,0,0,2.2,4.7,27.3,31.7,24
2022/8/7,0,0,3,5.7,28.6,32.5,25.7
2022/8/8,0,0,3.6,5.6,29,32.5,26.6
2022/8/9,0,0,3.6,5.4,29.2,32.7,26.9
2022/8/10,0,0,3.5,6,29.1,32.9,26.6
2022/8/11,0,0,3.9,5.9,29.3,32.8,26.8
2022/8/12,0,0,2.5,5,29,32.4,26.4
2022/8/13,0,0,2.4,5.5,28.6,31.9,25.2
2022/8/14,0,0,3.3,5.8,28.5,31.3,26.5
2022/8/15,0,0,3.1,6.9,29,33.3,26.2
2022/8/16,2,2,3.6,7.2,28.8,32.4,26
2022/8/17,15.5,45,2.1,5.2,26.3,29,24
2022/8/18,1.5,7.5,3,6,25.3,29,21.3
2022/8/19,0,0,2.4,5.2,25.8,29.9,21.2
2022/8/20,7,12.5,2.3,5.9,27.6,31.1,24.3
2022/8/21,1,4.5,2.1,5.1,26.4,30.2,24.6
2022/8/22,0,0,2.3,5,27.9,32.4,23.9
2022/8/23,0,0,1.9,4.2,28.5,30.9,25.9
2022/8/24,0.5,0.5,2.9,4.6,26.2,29.5,23.8
2022/8/25,0,0,2,4.9,26.5,31.3,23.2
2022/8/26,0,0,2.1,4.4,26.6,30.2,23.9
2022/8/27,0,0,2.3,5.2,26.5,30,23.8
2022/8/28,0,0,3.6,5.4,24.4,28.9,20.2
2022/8/29,0,0,1.7,3.8,25.2,30.8,18.8
2022/8/30,1,3.5,1.4,3.2,25,27.4,22.7
2022/8/31,0,0,4.1,9,27.9,31.5,24.3
2022/9/1,6,18,3.2,5.8,25.4,29.2,21.7
2022/9/2,0.5,0.5,3.3,6.2,25.2,31.4,21.3
2022/9/3,0,0,2.1,4.9,26.5,31.4,22.4
2022/9/4,0,0,2.2,5.6,27.3,32.1,22.7
2022/9/5,0,0,3.3,7.5,27.7,31.4,23
2022/9/6,0,0,6.2,12,27.3,30.9,21.4
2022/9/7,0.5,0.5,4,6.2,24.8,29.9,21.1
2022/9/8,0,0,3.2,5.9,24,28.2,22.1
2022/9/9,0.5,2,2.7,4.3,24.4,28.3,21.6
2022/9/10,0,0,3.4,5.5,25.9,30.7,22.8
2022/9/11,0,0,1.6,3.8,26.9,31.3,22.4
2022/9/12,0,0,1.6,3.3,28,33.6,23.2
2022/9/13,0,0,3.1,5.1,28.2,34.7,23.3
2022/9/14,0,0,3.7,5.4,27.5,33.1,23.9
2022/9/15,0,0,1.7,4.7,27,32.5,22.8
2022/9/16,0,0,2.5,4.8,27,31.8,23.3
2022/9/17,0,0,4,6.1,26.3,28.6,23.9
2022/9/18,0,0,3.6,6,28.5,32.5,24.6
2022/9/19,8,35.5,7.2,13.5,27,29.6,23.3
2022/9/20,3,1,4.6,9,20.2,24.4,15.9
2022/9/21,0,0,2.9,6.4,18.7,23.7,15.3
2022/9/22,3.5,7.5,1.9,3.8,20.5,24.8,17.4
2022/9/23,0.5,5,1.5,4,22.4,24.5,20.3
2022/9/24,0,0,2.9,5.3,22.3,28.5,17.3
2022/9/25,0,0,1.8,3.8,20.8,27.3,15.7
2022/9/26,0,0,1.6,4.6,22.9,28.4,16.7
2022/9/27,4,13,2.7,5.6,21.2,27.3,18.3
2022/9/28,0,0,2.7,5.5,21.3,26.5,18.5
2022/9/29,0,0,2.3,4.5,21.4,25.6,18
2022/9/30,0,0,1.8,4,21.8,28.4,16.3
2022/10/1,0,0,1.9,4.4,21.8,27,16.2
2022/10/2,0,0,2,4.6,22.2,28.1,15.3
2022/10/3,0,0,2.7,5.9,23.1,27,18.6
2022/10/4,1,2,3.9,6.6,24.5,27.2,22
2022/10/5,0.5,1,4.3,7,18.7,23.4,15.6
2022/10/6,0,0,3.1,5.5,17.4,21.6,15.3
2022/10/7,1.5,32.5,1.2,2.3,15.7,17.1,13.4
2022/10/8,0,0,3,6.1,16,20.1,11.4
2022/10/9,1.5,34.5,1.9,4.9,14.7,18.2,11
2022/10/10,3,10.5,1.7,6.2,17.5,20.4,14.5
2022/10/11,0,0,2.2,4.5,15.9,21,12.4
2022/10/12,0,0,2.4,4.9,16.2,19.1,13.2
2022/10/13,0,0,3.3,5.3,18.7,24.4,14.5
2022/10/14,0,0,2.9,4.5,19.3,25.1,14.8
2022/10/15,0,0,2.2,4.1,19,26,13.6
2022/10/16,0,0,1.6,4,20.4,25.9,14.2
2022/10/17,1,6,1,3.4,19.3,21.7,17.2
2022/10/18,0,0,3.1,7,15.5,18.4,11.5
2022/10/19,0,0,2.4,4.7,14.3,20.3,9.6
2022/10/20,0,0,1.7,4,14.8,20.8,8.6
2022/10/21,0,0,2,4.6,15.8,21.4,8.6
2022/10/22,0,0,2.2,5.2,19.6,23.2,16
2022/10/23,0,0,1.9,4.4,17.8,23.5,13.5
2022/10/24,0,0,2.7,5.5,13.7,19,9.8
2022/10/25,0,0,3.1,7.3,11.9,17,8.5
2022/10/26,0,0,2,5.7,12.7,19.4,6.8
2022/10/27,0,0,1.3,2.4,12,17.7,7.4
2022/10/28,0,0,2.2,4.8,14.2,21.3,7.3
2022/10/29,0,0,2.9,6,13.5,18.4,8.8
2022/10/30,0,0,1.7,5,12.4,18.8,6.8
2022/10/31,0,0,1.9,4.9,14.2,21.4,7.3
2022/11/1,1,5,1.8,4,14.5,16.4,13.3
2022/11/2,0,0,2.1,3.9,16.3,22.1,12.3
2022/11/3,0,0,2,5.6,15.1,20.8,9.4
2022/11/4,0,0,2.1,5.1,14.4,20.1,10.5
2022/11/5,0,0,2,4.8,12,17.8,7.3
2022/11/6,0,0,1.8,3.8,12.2,18,7.2
2022/11/7,0,0,1.8,3.9,12.1,18.7,6.1
2022/11/8,0,0,1.5,4.9,12.4,19.3,6.6
2022/11/9,0,0,1.4,3.8,12.3,18.4,7.1
2022/11/10,0,0,1.6,4.2,13.4,20.1,7.1
2022/11/11,0,0,1.6,4.2,14.3,20.8,8.8
2022/11/12,0,0,1.9,4.4,16.1,22.1,9.1
2022/11/13,1.5,10.5,2.9,6.4,17.3,19.4,13.9
2022/11/14,0,0,2.6,5.7,12.3,15.7,7.3
2022/11/15,0,0,1.6,4.9,11.1,16.8,5.1
2022/11/16,0,0,1.8,5.7,11,17.4,5.3
2022/11/17,0,0,1.2,2.9,10.1,15.6,4.5
2022/11/18,0,0,1.4,2.9,10.6,17.8,5
2022/11/19,0,0,2,6,11.4,17.7,5
2022/11/20,0.5,2,2.1,4.1,13.2,17.8,7.1
2022/11/21,1.5,6.5,1.3,3.3,14.2,19.3,11.4
2022/11/22,0,0,2,5.4,13.2,17.9,8.7
2022/11/23,2.5,18.5,1.7,3.8,12.4,13.9,10.8
2022/11/24,0,0,1.9,5,12.2,17.2,9.1
2022/11/25,0,0,1.4,4.1,11.4,16.6,6
2022/11/26,0,0,1.2,2.6,12.7,17.1,8.6
2022/11/27,0,0,2.2,5,12.2,16.9,8.6
2022/11/28,0,0,1.7,5,13,18.8,7.4
2022/11/29,4.5,34.5,4.1,8.1,17.9,20,14.1
2022/11/30,0.5,2.5,2.6,5.3,11.9,15.5,6.3
2022/12/1,0,0,1.8,5.7,6.5,10.2,3.8
2022/12/2,0,0,1.3,4.6,4.9,10.9,1.4
2022/12/3,0,0,1.4,3.7,5.2,10.4,-0.4
2022/12/4,0,0,1.5,3.5,8.5,12.8,4.2
2022/12/5,0.5,0.5,1.4,2.8,8.1,11.1,5.5
2022/12/6,0,0,1.7,5,6.3,12.3,1.4
2022/12/7,0,0,1.4,4.5,6.4,10.5,1.6
2022/12/8,0,0,1.6,4.6,7.7,13.8,3
2022/12/9,0,0,1.4,3.6,7.3,13.4,1.3
2022/12/10,0,0,1.2,2.5,8.6,15.1,2.3
2022/12/11,0,0,2.6,6.5,8.6,14.1,6.1
2022/12/12,0,0,2.1,4.7,7.8,12.4,3.1
2022/12/13,1,4,2.3,5.5,9.1,13.6,5.5
2022/12/14,0,0,4.7,8.3,5.7,9.6,0.1
2022/12/15,0,0,2,5.3,2.7,7.6,-1.2
2022/12/16,0,0,1.8,4.8,4.9,10.3,0.2
2022/12/17,0.5,2.5,1.2,3.3,3.3,5.3,1.2
2022/12/18,0,0,3.3,7.6,0.8,4.1,-2.1
2022/12/19,0,0,2.7,6.5,0.5,5,-3.4
2022/12/20,0,0,1.5,5,2.2,8.2,-2.4
2022/12/21,0.5,3,1.5,3.2,4.3,8.7,-2.1
2022/12/22,2,11,3.1,7.9,5.5,8.6,-0.2
2022/12/23,0,0,5.4,9.9,0,2.7,-1.6
2022/12/24,0,0,3.1,6,1.5,7,-2
2022/12/25,0,0,1.8,7.1,3.6,9,-0.6
2022/12/26,0,0,1.4,4.1,3,7.1,-0.3
2022/12/27,0,0,1.4,4.9,4.4,9.2,-0.1
2022/12/28,0,0,1.5,4.9,4,9.5,-1.6
2022/12/29,0,0,2.4,6.2,4.3,8.7,-0.1
2022/12/30,0,0,1.8,5.5,3.7,8.7,-0.6
2022/12/31,0,0,1.8,5.8,4.4,8.9,0.1
2023/1/1,0,0,1.9,6.2,4.3,9.2,-0.3
2023/1/2,0,0,1.5,4,4.2,8.9,0.5
2023/1/3,0,0,1.8,5.1,3.7,9.2,-1.4
2023/1/4,0,0,2.6,6.6,3.9,9.3,0
2023/1/5,0,0,1.5,4.9,3.5,9,-1.3
2023/1/6,0,0,1.4,3.6,4.5,8.5,1
2023/1/7,0.5,0.5,1.4,3.9,3.5,8.5,-0.1
2023/1/8,0,0,1.5,5.3,5.3,11.3,0.8
2023/1/9,0,0,1.6,5.2,5.9,9.9,0.2
2023/1/10,0,0,3.1,7.5,4.4,7.7,-0.2
2023/1/11,0,0,1.4,3.7,2.4,9.4,-2.9
2023/1/12,0,0,1.6,3.7,5.5,12.7,-1.5
2023/1/13,1.5,21,3.4,7.7,9.8,15.1,2.6
2023/1/14,1,14,1.8,5.2,12.4,13.8,11.1
2023/1/15,0,0,2.3,4.6,9.7,12.4,6.8
2023/1/16,0,0,3.6,7.2,6.7,9.9,2.3
2023/1/17,0,0,1.5,5.6,4,8.8,-0.3
2023/1/18,0.5,1,1.4,4.5,4.4,9.5,0.6
2023/1/19,0,0,1.3,3.7,3.9,9.1,-0.5
2023/1/20,0,0,2.6,7.9,4.5,9.7,-0.4
2023/1/21,0,0,1.8,5.5,2.1,6.8,-1.2
2023/1/22,0,0,1.2,3,2.8,7.9,-3.3
2023/1/23,0.5,2,1.4,3.9,4.2,7,1.7
2023/1/24,0.5,1.5,3.7,10.2,1.9,6.5,-3.7
2023/1/25,0.5,0.5,2.4,5.6,-2.1,1.9,-6.2
2023/1/26,0,0,1.7,5.8,-0.1,3.9,-4.5
2023/1/27,0.5,2,1.9,6.1,1.1,4.3,-0.8
2023/1/28,0.5,0.5,2.9,7,0.7,4.5,-1.6
2023/1/29,0,0,2.6,6.9,0.6,5.5,-3.9
2023/1/30,0,0,2.7,7.2,2.2,7.5,-1.7
2023/1/31,0,0,1.7,4.2,1.5,5.5,-2.9
2023/2/1,0,0,2.1,5.6,5.1,9.1,-1.8
2023/2/2,0,0,3.1,5.5,3.8,6,1.6
2023/2/3,0,0,1.3,3.5,3.5,7.8,-0.3
2023/2/4,0,0,2,5.5,3.6,8.4,-2
2023/2/5,0,0,1.4,4.7,3.7,9.2,-1.5
2023/2/6,0,0,1.7,4,4,8,-1.6
2023/2/7,0,0,1.3,3.7,7.4,10.7,3.7
2023/2/8,0,0,1.9,5.6,5.8,11.6,1.9
2023/2/9,0,0,3.2,6.2,4,8,0.9
2023/2/10,0.5,5.5,2.1,4,4.4,7.1,1.5
2023/2/11,0,0,2.3,5.3,7.1,11.6,3.1
2023/2/12,0,0,1.5,3.1,7.9,15,1.1
2023/2/13,0.5,5.5,3.8,8.2,7.3,9.4,4.5
2023/2/14,0,0,3.3,8,3.5,7.1,0.3
2023/2/15,0,0,3.2,6.5,0.8,4.8,-1.7
2023/2/16,0,0,1.6,4.5,1.7,4.6,-0.9
2023/2/17,0,0,1.7,5.3,3.5,8.6,-3.6
2023/2/18,0,0,1.1,2.5,7.2,11.1,2.5
2023/2/19,1,9,2,5,9.4,12.8,5.8
2023/2/20,0,0,2.7,6.5,5.5,10.4,0.9
2023/2/21,0,0,3,8.1,1.2,5.3,-1.4
2023/2/22,0,0,1.3,4.1,3.2,8.6,-0.5
2023/2/23,0,0,1.5,4.4,5.7,10,1.4
2023/2/24,0.5,6.5,1.1,3,5.5,6.9,3.4
2023/2/25,0,0,3.3,6.6,3.4,7.7,-1
2023/2/26,0,0,2.3,7,2.1,6.7,-2.4
2023/2/27,0,0,1.7,5.9,4.4,10.8,-1.4
2023/2/28,0,0,2.2,4.5,7.2,13.1,-0.8
2023/3/1,0.5,1.5,3.1,6.9,11,16.5,3.4
2023/3/2,0.5,1.5,3.3,8.4,6.8,10.2,2.3
2023/3/3,0,0,1.7,5.5,4.6,8.8,0
2023/3/4,0,0,2.2,5.3,6.7,14.2,0.6
2023/3/5,0,0,2.9,5,7.2,13.2,2.9
2023/3/6,0,0,1.8,4.2,7.3,13.2,0.1
2023/3/7,0,0,1.8,4,9,15,1.3
2023/3/8,0,0,2,4.6,11,17.2,3.7
2023/3/9,0,0,2.9,6.5,13.2,17.9,7
2023/3/10,0,0,2.4,5.2,14.7,19.6,9.9
2023/3/11,0,0,2,5.2,14,21.6,6.2
2023/3/12,0,0,4.6,9.9,15.4,19.9,10.1
2023/3/13,1,3.5,3.7,9.7,8.5,15.6,3
2023/3/14,0,0,1.5,5.2,6.7,12.9,0
2023/3/15,0,0,2.8,6.8,10.9,17.4,2.2
2023/3/16,0,0,2.8,5.4,14.4,19.4,9.9
2023/3/17,0.5,4.5,3.9,6.2,10.4,14.8,7
2023/3/18,1,20.5,3.1,5.5,8.1,12.5,5.2
2023/3/19,0,0,1.7,5.6,8.5,14.2,2.8
2023/3/20,0,0,2.2,4.9,10.8,17,3.2
2023/3/21,1.5,3,1.4,3,11.7,14.9,9
2023/3/22,0,0,1.8,4.3,15.2,22,8.5
2023/3/23,2.5,22,2.6,6.4,16.2,19,12.3
2023/3/24,0,0,3.6,6.6,15.1,19.1,11.1
2023/3/25,0.5,3,4,6.8,10.6,14.5,6.5
2023/3/26,1,16.5,2.3,4.5,9.1,10.7,7.4
2023/3/27,0,0,2.3,5.1,9.8,15.7,5.6
2023/3/28,0,0,2.7,4.9,10.1,17.5,3.7
2023/3/29,0,0,2.4,4.4,10.8,17.6,3.9
2023/3/30,0,0,1.7,4.7,11,16.5,3.1
2023/3/31,0,0,1.7,4.7,13.3,19.8,6.8
2023/4/1,0,0,2.7,6.2,14.2,22.6,6.2
2023/4/2,0,0,5,7.1,13.1,20.5,8.5
2023/4/3,0,0,4.3,6.2,12.4,19.4,7.7
2023/4/4,0,0,3,5.3,13.2,19,5.7
2023/4/5,0.5,2.5,4.1,7.4,14.7,17.4,12.3
2023/4/6,0.5,2,6.6,10,16.2,18.6,13.3
2023/4/7,2.5,47.5,4.9,9.3,14.8,17.4,10.5
2023/4/8,0,0,3.1,9.3,10.2,15.3,6.4
2023/4/9,0,0,1.9,5.4,10.2,15.6,3.9
2023/4/10,0,0,3.1,6.3,13.6,18.6,6.3
2023/4/11,0,0,5,10.3,16.5,19.9,12.5
2023/4/12,1,3.5,3.1,5.6,13.9,17.6,9.1
2023/4/13,0,0,2,5.2,12.4,18.7,4.6
2023/4/14,1,5,2,5,15,19.5,9.9
2023/4/15,1,26,1.8,4.9,13,14.7,10.2
2023/4/16,1.5,3,3.5,7.3,13.4,17.3,9.3
2023/4/17,0.5,0.5,2.2,5.9,12.2,17.7,7.6
2023/4/18,0.5,0.5,3.8,9.2,14,18.9,6.8
2023/4/19,1,3.5,1.4,3.7,16.4,18.4,14.3
2023/4/20,0,0,2.1,4.8,17.9,23.9,13.4
2023/4/21,0,0,3.3,8.4,16.7,25.2,11
2023/4/22,0,0,5.1,8.1,12.5,17.8,8.6
2023/4/23,0,0,4.2,6.8,12.9,20.5,7.2
2023/4/24,0,0,3.8,5.6,11.5,14.5,8.3
2023/4/25,1,9,1.6,3.2,10.7,14.1,7.3
2023/4/26,5,28,2,5,13,16.3,9
2023/4/27,0,0,1.7,5.5,13.2,18.2,7
2023/4/28,0,0,2.9,6,15.5,21.4,9.6
2023/4/29,1.5,13,4.5,7.9,17.3,20,13
2023/4/30,1.5,14,3.7,9.2,16.6,19.3,12.4
2023/5/1,3.5,4.5,2.7,7.1,13.9,20.1,7.7
2023/5/2,0,0,2.8,6.1,14.4,21.4,7.2
2023/5/3,0,0,3.1,5.9,15.9,21.6,7.8
2023/5/4,0,0,3.2,5,18.4,22.6,14.8
2023/5/5,0,0,6.1,9.7,19,21.6,16.6
2023/5/6,0.5,5,7.2,10.3,19.5,22.3,17.9
2023/5/7,4.5,90,3.8,7.4,16.8,19.8,12.4
2023/5/8,2,13.5,4.7,8.6,13.9,17.8,10.3
2023/5/9,0,0,2.3,5.5,14.7,21.1,8.5
2023/5/10,0,0,2.3,5.2,16.4,24,8.3
2023/5/11,0,0,3.9,5.9,17.3,24.1,11.8
2023/5/12,0,0,2.5,5.3,16.5,23.4,8.4
2023/5/13,0.5,10,2.3,7.3,16.1,21,13.2
2023/5/14,1.5,7,1.7,4,16,19.6,13.9
2023/5/15,0,0,1.7,4.7,17.8,22.7,13.5
2023/5/16,0,0,2.1,5.2,18.9,24.5,11.6
2023/5/17,0,0,2.5,4.6,21.9,27.6,15
2023/5/18,0.5,0.5,4.4,8.7,20.8,25.4,18.1
2023/5/19,3.5,49.5,2.5,7.2,17.5,18.9,16.1
2023/5/20,0,0,3,6,18.1,23,14.7
2023/5/21,0,0,2.1,5.1,19.7,25.1,13.1
2023/5/22,1,3,2.4,7.6,19.2,26.5,13.5
2023/5/23,0,0,2.5,4.7,14.6,16.8,13.5
2023/5/24,0,0,4.1,6.1,18,23.1,13.7
2023/5/25,0,0,2.6,6.7,17.6,22.7,12.6
2023/5/26,0,0,3.3,6.8,20.1,24.4,17.3
2023/5/27,0,0,2.3,5,20.7,25,16.8
2023/5/28,0,0,3.2,6.6,21,23.7,18.8
2023/5/29,1.5,22,3.2,6.1,20.7,21.7,19.8
2023/5/30,1.5,24.5,2.6,4.2,19.6,23.8,17.4
2023/5/31,0.5,0.5,2.2,3.8,18.6,24.2,14.7
2023/6/1,1.5,12.5,2.4,5.5,19,23,12.5
2023/6/2,3.5,86.5,2.3,4.4,20.8,21.6,19.7
2023/6/3,0,0,3.6,6.5,20.4,25.1,14.5
2023/6/4,0,0,2.1,4.7,19.2,23.4,12.5
2023/6/5,0,0,1.9,4.2,20.5,25.4,15.1
2023/6/6,0.5,3.5,2.2,5.9,18.2,21.2,16.4
2023/6/7,0.5,0.5,1.7,4.9,19.9,23.8,16.4
2023/6/8,2,16.5,2,5.4,19.1,22.5,15.5
2023/6/9,3.5,9.5,2.6,5.9,20.8,24.5,18.5
2023/6/10,0.5,0.5,2.2,6.7,20.9,23.6,17.3
2023/6/11,0.5,9,2.1,5.8,20.6,23,19.1
2023/6/12,2.5,9.5,1.4,3.5,21.4,23.8,19.6
2023/6/13,0,0,2,5,23,26.7,19.4
2023/6/14,0.5,1,1.9,5.2,22.5,25.3,20.9
2023/6/15,0,0,1.7,5.1,21.7,25.1,19.3
2023/6/16,0,0,2.3,5.8,21.6,25.5,16.3
2023/6/17,0,0,2.3,4.5,23.2,28,17.7
2023/6/18,0,0,1.5,3.3,22.8,26.6,18.9
2023/6/19,0,0,3.7,6.1,23.1,29.1,18.3
2023/6/20,0,0,3.1,5.9,22.9,28.2,17
2023/6/21,0,0,3.3,6.9,22.8,25.4,21
2023/6/22,4,25.5,2.1,5.1,20.2,22.9,17.7
2023/6/23,0,0,2.1,4.6,22.3,25.1,19.9
2023/6/24,0,0,2.1,4.6,23.5,26.8,20.6
2023/6/25,0,0,1.7,3.8,23.1,26.9,19.4
2023/6/26,0.5,1,1.4,3.2,23.4,25.5,21.5
